Accuracy,QPS,50acc,50qps,30acc,30qps
0.56725,1020.41,0.54088,1360.54,0.531233,1234.57
0.62693,848.176,0.65238,877.963,0.631,763.359
0.67428,763.942,0.75198,546.448,0.688267,554.939
0.70845,682.128,0.79736,400.481,0.726367,433.839
0.73693,619.963,0.82858,319.183,0.749667,357.91
0.7589,563.063,0.84786,264.271,0.7741,291.29
0.78245,531.632,0.86238,218.771,0.787433,251.193
0.85767,330.579,0.88334,169.09,0.800933,219.154
0.89108,249.813,0.89826,134.825,0.819433,171.086
0.9111,203.087,0.90812,106.417,0.833233,129.735
0.93337,148.898,0.92298,76.7931,0.8554,90.8595
0.94514,119.048,0.9313,57.8704,0.871367,66.0895
0.95328,98.3865,0.9407,39.8629,0.881667,44.2048
0.95921,81.3206,,,,
0.96371,68.4603,,,,
0.96703,59.8659,,,,
0.97215,45.6621,,,,
0.97646,32.885,,,,
