s-acc,s-qps,s-opq-acc,s-opq-qps,g-acc,g-qps,g-opq-acc,g-opq-qps
0.600881,11210.8,0.391203,6317.12,0.3731,3048.78,0.28901,4739.34
0.742654,8598.45,0.46383,5020.08,0.49043,2427.18,0.32453,4219.41
0.838724,7230.66,0.518315,4255.32,0.56991,2096.44,0.34413,3521.13
0.893578,6234.41,0.567504,3658.98,0.62924,1811.59,0.35171,3194.89
0.923376,5649.72,0.59326,2934.27,0.67479,1577.29,0.35417,2857.14
0.940047,5157.3,0.608307,2707.83,0.70898,1400.56,0.35763,2673.8
0.951185,4752.85,0.619333,2730,0.73819,1251.56,0.35748,2487.56
0.959006,4436.56,0.63156,2579.98,0.75913,1169.59,0.35771,2341.92
0.9665,4149.38,0.636791,2416.04,0.78153,1069.52,,
0.988242,2577.32,0.653854,1607.98,0.85775,689.18,,
0.993324,1898.97,0.65882,1237.62,0.89109,529.101,,
0.995681,1511.49,0.66039,1022.18,0.91095,437.063,,
0.997657,1076.54,0.662023,760.861,0.93344,331.565,,
0.998565,830.703,0.662646,616.219,0.94514,272.554,,
0.9992,557.414,0.663534,441.17,0.95919,205.086,,
,,,,0.96702,168.634,,
,,,,0.97215,143.062,,
,,,,0.97634,119.717,,
