s-acc,s-qps,s-opq-acc,s-opq-qps,s-new-acc,s-new-qps,s-n64-acc,s-n64-qps,s-n32-acc,s-n32-qps,g-acc,g-qps,g-opq-acc,g-opq-qps,g-new-acc,g-new-qps
0.600881,11210.8,0.391203,6317.12,0.594695,4460.37,0.583489,5737.4,0.581488,6474.68,0.3731,3048.78,0.28901,4739.34,0.3216,2304.35
0.742654,8598.45,0.46383,5020.08,0.739105,3238.72,0.703442,4212.63,0.644065,5157.98,0.49043,2427.18,0.32453,4219.41,0.37341,1700.45
0.838724,7230.66,0.518315,4255.32,0.837947,2602.64,0.785777,3417.32,0.68664,4429.84,0.56991,2096.44,0.34413,3521.13,0.40299,1370.57
0.893578,6234.41,0.567504,3658.98,0.891701,2243.88,0.834717,2919.68,0.704711,3920.29,0.62924,1811.59,0.35171,3194.89,0.41529,1171.95
0.923376,5649.72,0.59326,2934.27,0.923475,1981.53,0.857371,2601.3,0.715316,3511.27,0.67479,1577.29,0.35417,2857.14,0.42554,984.318
0.940047,5157.3,0.608307,2707.83,0.937404,1779.2,0.867424,2325.16,0.724918,3219.02,0.70898,1400.56,0.35763,2673.8,0.43101,903.046
0.951185,4752.85,0.619333,2730,0.950761,1630.59,0.874615,2122.48,0.732358,2980.86,0.73819,1251.56,0.35748,2487.56,0.43486,816.452
0.959006,4436.56,0.63156,2579.98,0.958378,1496.62,0.881072,1952.44,0.735316,2776.65,0.75913,1169.59,0.35771,2341.92,0.43793,753.248
0.9665,4149.38,0.636791,2416.04,0.965194,1399.24,0.88418,1830.29,0.745585,1742.99,0.78153,1069.52,,,0.43874,692.371
0.988242,2577.32,0.653854,1607.98,0.984582,903.511,0.896127,1164.33,0.748764,1300.28,0.85775,689.18,,,,
0.993324,1898.97,0.65882,1237.62,0.989776,687.709,0.899565,885.759,0.749315,1050.95,0.89109,529.101,,,,
0.995681,1511.49,0.66039,1022.18,0.991945,563.555,0.900432,724.024,0.749673,764.47,0.91095,437.063,,,,
0.997657,1076.54,0.662023,760.861,0.993445,421.052,0.901421,537.223,0.749812,592.937,0.93344,331.565,,,,
0.998565,830.703,0.662646,616.219,0.994235,341.857,0.901723,428.673,0.749993,451.026,0.94514,272.554,,,,
0.9992,557.414,0.663534,441.17,0.994733,248.872,0.901941,309.087,,,0.95919,205.086,,,,
,,,,,,,,,,0.96702,168.634,,,,
,,,,,,,,,,0.97215,143.062,,,,
,,,,,,,,,,0.97634,119.717,,,,
